facility_id,facility_name,county,is_houston_area,hospital_ownership,measure_id,measure_name,top_box_pct,completed_surveys
450867,ASCENSION SETON NORTHWEST,TRAVIS,False,Voluntary non-profit - Private,H_RECMND_DY,"Patients who reported YES, they would definitely recommend the hospital — ""YES"", patients would definitely recommend the hospital",70.0,524.0
670041,ASCENSION SETON WILLIAMSON,WILLIAMSON,False,Voluntary non-profit - Private,H_CLEAN_HSP_A_P,"Patients who reported that their room and bathroom were ""Always"" clean — Room was ""always"" clean",67.0,459.0
670041,ASCENSION SETON WILLIAMSON,WILLIAMSON,False,Voluntary non-profit - Private,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well — Nurses ""always"" communicated well",74.0,459.0
670041,ASCENSION SETON WILLIAMSON,WILLIAMSON,False,Voluntary non-profit - Private,H_COMP_2_A_P,"Patients who reported that their doctors ""Always"" communicated well — Doctors ""always"" communicated well",75.0,459.0
670041,ASCENSION SETON WILLIAMSON,WILLIAMSON,False,Voluntary non-profit - Private,H_COMP_5_A_P,"Patients who reported that staff ""Always"" explained about medicines before giving it to them — Staff ""always"" explained",57.0,459.0
670041,ASCENSION SETON WILLIAMSON,WILLIAMSON,False,Voluntary non-profit - Private,H_COMP_6_Y_P,"Patients who reported that YES, they were given information about what to do during their recovery at home — Yes, staff ""did"" give patients this information",84.0,459.0
670041,ASCENSION SETON WILLIAMSON,WILLIAMSON,False,Voluntary non-profit - Private,H_HSP_RATING_9_10,"Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest) — Patients who gave a rating of ""9"" or ""10"" (high)",70.0,459.0
670041,ASCENSION SETON WILLIAMSON,WILLIAMSON,False,Voluntary non-profit - Private,H_QUIET_HSP_A_P,"Patients who reported that the area around their room was ""Always"" quiet at night — ""Always"" quiet at night",54.0,459.0
670041,ASCENSION SETON WILLIAMSON,WILLIAMSON,False,Voluntary non-profit - Private,H_RECMND_DY,"Patients who reported YES, they would definitely recommend the hospital — ""YES"", patients would definitely recommend the hospital",71.0,459.0
450346,BAPTIST BEAUMONT HOSPITAL,JEFFERSON,False,Voluntary non-profit - Private,H_CLEAN_HSP_A_P,"Patients who reported that their room and bathroom were ""Always"" clean — Room was ""always"" clean",65.0,1200.0
450346,BAPTIST BEAUMONT HOSPITAL,JEFFERSON,False,Voluntary non-profit - Private,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well — Nurses ""always"" communicated well",75.0,1200.0
450346,BAPTIST BEAUMONT HOSPITAL,JEFFERSON,False,Voluntary non-profit - Private,H_COMP_2_A_P,"Patients who reported that their doctors ""Always"" communicated well — Doctors ""always"" communicated well",73.0,1200.0
