facility_id,facility_name,city,county,hospital_ownership,hospital_type,overall_rating,is_houston_area,readm_pn_pct,readm_hf_pct,mort_hf_pct,mort_pn_pct,hai_clabsi_sir,hai_cauti_sir,sepsis_bundle_pct,ed_left_without_seen_pct,recommend_pct,rated_9_10_pct,hcahps_star
454152,CANYON CREEK BEHAVIORAL HEALTH,TEMPLE,BELL,Proprietary,Psychiatric,,False,,,,,,,,,,,
450730,CARROLLTON REGIONAL MEDICAL CENTER,CARROLLTON,DENTON,Proprietary,Acute Care Hospitals,2.0,False,18.6,22.5,12.1,12.7,,0.0,55.0,4.0,54.0,61.0,2.0
454119,CARROLLTON SPRINGS,CARROLLTON,DENTON,Proprietary,Psychiatric,,False,,,,,,,,,,,
454153,CARRUS BEHAVIORAL HOSPITAL,SHERMAN,GRAYSON,Proprietary,Psychiatric,,False,,,,,,,,,,,
454114,CEDAR CREST HOSPITAL & RTC,BELTON,BELL,Proprietary,Psychiatric,,False,,,,,,,,,,,
454159,CEDAR HILLS BEHAVIORAL,SAN ANTONIO,BEXAR,Voluntary non-profit - Other,Psychiatric,,False,,,,,,,,,,,
450011,CHI ST JOSEPH HEALTH REGIONAL HOSPITAL,BRYAN,BRAZOS,Voluntary non-profit - Private,Acute Care Hospitals,2.0,False,18.3,21.3,10.5,15.8,1.744,0.431,72.0,2.0,67.0,66.0,3.0
450072,CHI ST LUKE'S HEALTH BRAZOSPORT,LAKE JACKSON,BRAZORIA,Voluntary non-profit - Private,Acute Care Hospitals,4.0,True,17.3,23.0,11.5,14.1,0.921,0.0,71.0,1.0,66.0,68.0,3.0
450395,CHI ST LUKES HEALTH MEMORIAL LIVINGSTON,LIVINGSTON,POLK,Voluntary non-profit - Private,Acute Care Hospitals,4.0,False,18.9,20.8,11.0,13.5,,,80.0,2.0,65.0,75.0,4.0
450211,CHI ST LUKES HEALTH MEMORIAL LUFKIN,LUFKIN,ANGELINA,Voluntary non-profit - Private,Acute Care Hospitals,2.0,False,17.7,21.3,10.2,12.6,1.574,0.231,65.0,3.0,71.0,71.0,4.0
670783,CHI ST LUKES HEALTH MEMORIAL SAN AUGUSTINE,SAN AUGUSTINE,SAN AUGUSTINE,Voluntary non-profit - Private,Rural Emergency Hospital,,False,,,,,,,,,,,
670059,CHI ST LUKES LAKESIDE HOSPITAL,THE WOODLANDS,MONTGOMERY,Voluntary non-profit - Other,Acute Care Hospitals,,True,,,,,,,,0.0,81.0,83.0,4.0
453315,CHILDREN'S HOSPITAL OF SAN ANTONIO,SAN ANTONIO,BEXAR,Voluntary non-profit - Church,Childrens,,False,,,,,,,,,,,
453316,CHILDRENS MEDICAL CENTER PLANO,PLANO,COLLIN,Voluntary non-profit - Private,Childrens,,False,,,,,,,,,,,
453302,CHILDRENS MEDICAL CTR OF DALLAS,DALLAS,DALLAS,Voluntary non-profit - Private,Childrens,,False,,,,,,,,,,,
450369,CHILDRESS REGIONAL MEDICAL CENTER,CHILDRESS,CHILDRESS,Government - Hospital District or Authority,Acute Care Hospitals,,False,17.0,21.4,,13.3,,,38.0,0.0,94.0,96.0,
450032,CHRISTUS GOOD SHEPHERD MEDICAL CENTER,LONGVIEW,GREGG,Voluntary non-profit - Private,Acute Care Hospitals,4.0,False,19.7,22.8,8.6,13.3,0.34,0.387,94.0,1.0,70.0,74.0,4.0
450573,CHRISTUS JASPER MEMORIAL HOSPITAL,JASPER,JASPER,Voluntary non-profit - Private,Acute Care Hospitals,4.0,False,16.9,20.9,10.3,13.9,,,58.0,1.0,72.0,72.0,
450102,CHRISTUS MOTHER FRANCES HOSPITAL,TYLER,SMITH,Voluntary non-profit - Private,Acute Care Hospitals,4.0,False,17.0,20.7,12.1,15.3,0.301,0.063,84.0,0.0,75.0,72.0,3.0
450236,CHRISTUS MOTHER FRANCES HOSPITAL SULPHUR SPRINGS,SULPHUR SPRINGS,HOPKINS,Voluntary non-profit - Private,Acute Care Hospitals,4.0,False,16.6,19.2,10.2,16.9,,0.604,84.0,0.0,77.0,82.0,4.0
451319,CHRISTUS MOTHER FRANCES HOSPITAL- JACKSONVILLE,JACKSONVILLE,CHEROKEE,Voluntary non-profit - Private,Critical Access Hospitals,,False,16.2,21.3,,15.3,,,81.0,0.0,92.0,90.0,5.0
451381,CHRISTUS MOTHER FRANCES HOSPITAL- WINNSBORO,WINNSBORO,WOOD,Voluntary non-profit - Private,Critical Access Hospitals,,False,,,,,,,,,,,
450272,CHRISTUS SANTA ROSA HOSPITAL-SAN MARCOS,SAN MARCOS,HAYS,Voluntary non-profit - Church,Acute Care Hospitals,4.0,False,17.8,21.6,10.1,14.5,0.548,0.436,78.0,1.0,71.0,71.0,3.0
450237,CHRISTUS SANTA ROSA MEDICAL CENTER,SAN ANTONIO,BEXAR,Voluntary non-profit - Private,Acute Care Hospitals,3.0,False,17.7,20.7,9.0,16.5,1.091,0.703,81.0,1.0,70.0,72.0,3.0
450034,CHRISTUS SOUTHEAST TEXAS- ST ELIZABETH,BEAUMONT,JEFFERSON,Voluntary non-profit - Private,Acute Care Hospitals,4.0,False,18.6,22.0,11.3,18.8,0.132,0.0,75.0,2.0,67.0,65.0,3.0
450828,CHRISTUS SPOHN HOSPITAL ALICE,ALICE,JIM WELLS,Voluntary non-profit - Private,Acute Care Hospitals,3.0,False,15.7,19.6,9.6,16.5,,,75.0,4.0,69.0,77.0,4.0
450082,CHRISTUS SPOHN HOSPITAL BEEVILLE,BEEVILLE,BEE,Voluntary non-profit - Private,Acute Care Hospitals,2.0,False,17.3,21.4,10.8,16.5,,,88.0,1.0,58.0,59.0,2.0
450046,CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI,CORPUS CHRISTI,NUECES,Voluntary non-profit - Private,Acute Care Hospitals,3.0,False,17.6,18.9,10.3,12.9,0.256,0.166,83.0,1.0,72.0,72.0,3.0
450163,CHRISTUS SPOHN HOSPITAL KLEBERG,KINGSVILLE,KLEBERG,Voluntary non-profit - Private,Acute Care Hospitals,2.0,False,16.5,20.1,10.5,18.3,,,75.0,3.0,66.0,71.0,4.0
450801,CHRISTUS ST MICHAEL HEALTH SYSTEM,TEXARKANA,BOWIE,Voluntary non-profit - Private,Acute Care Hospitals,3.0,False,17.8,20.3,13.3,19.2,0.421,0.493,75.0,3.0,68.0,71.0,4.0
450023,CITIZENS MEDICAL CENTER,VICTORIA,VICTORIA,Voluntary non-profit - Other,Acute Care Hospitals,3.0,False,16.7,21.2,11.1,18.4,0.0,0.156,56.0,3.0,73.0,73.0,3.0
451362,CLAY COUNTY MEMORIAL HOSPITAL,HENRIETTA,CLAY,Government - Local,Critical Access Hospitals,,False,,,,,,,,,,,
670115,CLEVELAND EMERGENCY HOSPITAL,HUMBLE,HARRIS,Proprietary,Acute Care Hospitals,,True,,,,,,,,0.0,,,
451366,COCHRAN MEMORIAL HOSPITAL,MORTON,COCHRAN,Government - Local,Critical Access Hospitals,,False,,,,,,,,,,,
451384,COGDELL MEMORIAL HOSPITAL,SNYDER,SCURRY,Government - Hospital District or Authority,Critical Access Hospitals,,False,16.9,,,17.5,,,,1.0,75.0,79.0,
